COMET FPGA pin,Signal ID
COMET_B_J2-IC3-191,DC0_ELKS.GBTX_ELK_CH0_1_N
COMET_B_J2-IC3-190,DC0_ELKS.GBTX_ELK_CH0_1_P
COMET_B_J2-IC3-189,DC0_ELKS.GBTX_ELK_CH1_1_N
COMET_B_J2-IC3-188,DC0_ELKS.GBTX_ELK_CH1_1_P
COMET_A_J1-IC3-87,DC0_ELKS.GBTX_ELK_CH2_1_N
COMET_A_J1-IC3-86,DC0_ELKS.GBTX_ELK_CH2_1_P
COMET_A_J1-IC3-85,DC0_ELKS.GBTX_ELK_CH3_1_N
COMET_A_J1-IC3-84,DC0_ELKS.GBTX_ELK_CH3_1_P
COMET_B_J1-IC3-191,DC0_ELKS.GBTX_ELK_CH4_1_N
COMET_B_J1-IC3-190,DC0_ELKS.GBTX_ELK_CH4_1_P
COMET_B_J1-IC3-189,DC0_ELKS.GBTX_ELK_CH5_1_N
COMET_B_J1-IC3-188,DC0_ELKS.GBTX_ELK_CH5_1_P
COMET_A_J2-IC3-87,DC0_ELKS.GBTX_ELK_CH6_1_N
COMET_A_J2-IC3-86,DC0_ELKS.GBTX_ELK_CH6_1_P
COMET_A_J2-IC3-85,DC0_ELKS.GBTX_ELK_CH7_1_N
COMET_A_J2-IC3-84,DC0_ELKS.GBTX_ELK_CH7_1_P
COMET_A_J1-IC3-159,DC0_ELKS.GBTX_ELK_CH8_1_N
COMET_A_J1-IC3-160,DC0_ELKS.GBTX_ELK_CH8_1_P
COMET_A_J1-IC3-161,DC0_ELKS.GBTX_ELK_CH9_1_N
COMET_A_J1-IC3-163,DC0_ELKS.GBTX_ELK_CH9_1_P
COMET_A_J2-IC3-159,DC0_ELKS.GBTX_ELK_CH10_1_N
COMET_A_J2-IC3-160,DC0_ELKS.GBTX_ELK_CH10_1_P
COMET_A_J2-IC3-161,DC0_ELKS.GBTX_ELK_CH11_1_N
COMET_A_J2-IC3-163,DC0_ELKS.GBTX_ELK_CH11_1_P
COMET_B_J2-IC3-197,DC1_ELKS.GBTX_ELK_CH0_1_N
COMET_B_J2-IC3-196,DC1_ELKS.GBTX_ELK_CH0_1_P
COMET_B_J2-IC3-194,DC1_ELKS.GBTX_ELK_CH1_1_N
COMET_B_J2-IC3-193,DC1_ELKS.GBTX_ELK_CH1_1_P
COMET_B_J2-IC3-167,DC1_ELKS.GBTX_ELK_CH2_1_N
COMET_B_J2-IC3-166,DC1_ELKS.GBTX_ELK_CH2_1_P
COMET_A_J1-IC3-91,DC1_ELKS.GBTX_ELK_CH3_1_N
COMET_A_J1-IC3-90,DC1_ELKS.GBTX_ELK_CH3_1_P
COMET_B_J1-IC3-197,DC1_ELKS.GBTX_ELK_CH4_1_N
COMET_B_J1-IC3-196,DC1_ELKS.GBTX_ELK_CH4_1_P
COMET_B_J1-IC3-194,DC1_ELKS.GBTX_ELK_CH5_1_N
COMET_B_J1-IC3-193,DC1_ELKS.GBTX_ELK_CH5_1_P
COMET_B_J1-IC3-167,DC1_ELKS.GBTX_ELK_CH6_1_N
COMET_B_J1-IC3-166,DC1_ELKS.GBTX_ELK_CH6_1_P
COMET_A_J2-IC3-91,DC1_ELKS.GBTX_ELK_CH7_1_N
COMET_A_J2-IC3-90,DC1_ELKS.GBTX_ELK_CH7_1_P
COMET_A_J1-IC3-5,DC1_ELKS.GBTX_ELK_CH8_1_N
COMET_A_J1-IC3-6,DC1_ELKS.GBTX_ELK_CH8_1_P
COMET_A_J1-IC3-83,DC1_ELKS.GBTX_ELK_CH9_1_N
COMET_A_J1-IC3-82,DC1_ELKS.GBTX_ELK_CH9_1_P
COMET_A_J2-IC3-5,DC1_ELKS.GBTX_ELK_CH10_1_N
COMET_A_J2-IC3-6,DC1_ELKS.GBTX_ELK_CH10_1_P
COMET_A_J2-IC3-83,DC1_ELKS.GBTX_ELK_CH11_1_N
COMET_A_J2-IC3-82,DC1_ELKS.GBTX_ELK_CH11_1_P
COMET_B_J2-IC3-202,DC2_ELKS.GBTX_ELK_CH0_1_N
COMET_B_J2-IC3-201,DC2_ELKS.GBTX_ELK_CH0_1_P
COMET_B_J2-IC3-199,DC2_ELKS.GBTX_ELK_CH1_1_N
COMET_B_J2-IC3-198,DC2_ELKS.GBTX_ELK_CH1_1_P
COMET_B_J2-IC3-90,DC2_ELKS.GBTX_ELK_CH2_1_N
COMET_B_J2-IC3-91,DC2_ELKS.GBTX_ELK_CH2_1_P
COMET_B_J2-IC3-169,DC2_ELKS.GBTX_ELK_CH3_1_N
COMET_B_J2-IC3-168,DC2_ELKS.GBTX_ELK_CH3_1_P
COMET_B_J1-IC3-202,DC2_ELKS.GBTX_ELK_CH4_1_N
COMET_B_J1-IC3-201,DC2_ELKS.GBTX_ELK_CH4_1_P
COMET_B_J1-IC3-199,DC2_ELKS.GBTX_ELK_CH5_1_N
COMET_B_J1-IC3-198,DC2_ELKS.GBTX_ELK_CH5_1_P
COMET_B_J1-IC3-90,DC2_ELKS.GBTX_ELK_CH6_1_N
COMET_B_J1-IC3-91,DC2_ELKS.GBTX_ELK_CH6_1_P
COMET_B_J1-IC3-169,DC2_ELKS.GBTX_ELK_CH7_1_N
COMET_B_J1-IC3-168,DC2_ELKS.GBTX_ELK_CH7_1_P
COMET_A_J1-IC3-203,DC2_ELKS.GBTX_ELK_CH8_1_N
COMET_A_J1-IC3-204,DC2_ELKS.GBTX_ELK_CH8_1_P
COMET_A_J1-IC3-205,DC2_ELKS.GBTX_ELK_CH9_1_N
COMET_A_J1-IC3-206,DC2_ELKS.GBTX_ELK_CH9_1_P
COMET_A_J2-IC3-203,DC2_ELKS.GBTX_ELK_CH10_1_N
COMET_A_J2-IC3-204,DC2_ELKS.GBTX_ELK_CH10_1_P
COMET_A_J2-IC3-205,DC2_ELKS.GBTX_ELK_CH11_1_N
COMET_A_J2-IC3-206,DC2_ELKS.GBTX_ELK_CH11_1_P
COMET_B_J2-IC3-206,DC3_ELKS.GBTX_ELK_CH0_1_N
COMET_B_J2-IC3-205,DC3_ELKS.GBTX_ELK_CH0_1_P
COMET_B_J2-IC3-204,DC3_ELKS.GBTX_ELK_CH1_1_N
COMET_B_J2-IC3-203,DC3_ELKS.GBTX_ELK_CH1_1_P
COMET_B_J2-IC3-84,DC3_ELKS.GBTX_ELK_CH2_1_N
COMET_B_J2-IC3-85,DC3_ELKS.GBTX_ELK_CH2_1_P
COMET_B_J2-IC3-86,DC3_ELKS.GBTX_ELK_CH3_1_N
COMET_B_J2-IC3-87,DC3_ELKS.GBTX_ELK_CH3_1_P
COMET_B_J1-IC3-206,DC3_ELKS.GBTX_ELK_CH4_1_N
COMET_B_J1-IC3-205,DC3_ELKS.GBTX_ELK_CH4_1_P
COMET_B_J1-IC3-204,DC3_ELKS.GBTX_ELK_CH5_1_N
COMET_B_J1-IC3-203,DC3_ELKS.GBTX_ELK_CH5_1_P
COMET_B_J1-IC3-84,DC3_ELKS.GBTX_ELK_CH6_1_N
COMET_B_J1-IC3-85,DC3_ELKS.GBTX_ELK_CH6_1_P
COMET_B_J1-IC3-86,DC3_ELKS.GBTX_ELK_CH7_1_N
COMET_B_J1-IC3-87,DC3_ELKS.GBTX_ELK_CH7_1_P
COMET_A_J1-IC3-198,DC3_ELKS.GBTX_ELK_CH8_1_N
COMET_A_J1-IC3-199,DC3_ELKS.GBTX_ELK_CH8_1_P
COMET_A_J1-IC3-201,DC3_ELKS.GBTX_ELK_CH9_1_N
COMET_A_J1-IC3-202,DC3_ELKS.GBTX_ELK_CH9_1_P
COMET_A_J2-IC3-198,DC3_ELKS.GBTX_ELK_CH10_1_N
COMET_A_J2-IC3-199,DC3_ELKS.GBTX_ELK_CH10_1_P
COMET_A_J2-IC3-201,DC3_ELKS.GBTX_ELK_CH11_1_N
COMET_A_J2-IC3-202,DC3_ELKS.GBTX_ELK_CH11_1_P
COMET_B_J2-IC3-82,DC4_ELKS.GBTX_ELK_CH0_1_N
COMET_B_J2-IC3-83,DC4_ELKS.GBTX_ELK_CH0_1_P
COMET_B_J2-IC3-6,DC4_ELKS.GBTX_ELK_CH1_1_N
COMET_B_J2-IC3-5,DC4_ELKS.GBTX_ELK_CH1_1_P
COMET_B_J2-IC3-179,DC4_ELKS.GBTX_ELK_CH2_1_N
COMET_B_J2-IC3-177,DC4_ELKS.GBTX_ELK_CH2_1_P
COMET_A_J1-IC3-166,DC4_ELKS.GBTX_ELK_CH3_1_N
COMET_A_J1-IC3-167,DC4_ELKS.GBTX_ELK_CH3_1_P
COMET_B_J1-IC3-82,DC4_ELKS.GBTX_ELK_CH4_1_N
COMET_B_J1-IC3-83,DC4_ELKS.GBTX_ELK_CH4_1_P
COMET_B_J1-IC3-6,DC4_ELKS.GBTX_ELK_CH5_1_N
COMET_B_J1-IC3-5,DC4_ELKS.GBTX_ELK_CH5_1_P
COMET_B_J1-IC3-179,DC4_ELKS.GBTX_ELK_CH6_1_N
COMET_B_J1-IC3-177,DC4_ELKS.GBTX_ELK_CH6_1_P
COMET_A_J2-IC3-166,DC4_ELKS.GBTX_ELK_CH7_1_N
COMET_A_J2-IC3-167,DC4_ELKS.GBTX_ELK_CH7_1_P
COMET_A_J1-IC3-193,DC4_ELKS.GBTX_ELK_CH8_1_N
COMET_A_J1-IC3-194,DC4_ELKS.GBTX_ELK_CH8_1_P
COMET_A_J1-IC3-196,DC4_ELKS.GBTX_ELK_CH9_1_N
COMET_A_J1-IC3-197,DC4_ELKS.GBTX_ELK_CH9_1_P
COMET_A_J2-IC3-193,DC4_ELKS.GBTX_ELK_CH10_1_N
COMET_A_J2-IC3-194,DC4_ELKS.GBTX_ELK_CH10_1_P
COMET_A_J2-IC3-196,DC4_ELKS.GBTX_ELK_CH11_1_N
COMET_A_J2-IC3-197,DC4_ELKS.GBTX_ELK_CH11_1_P
COMET_B_J2-IC3-163,DC5_ELKS.GBTX_ELK_CH0_1_N
COMET_B_J2-IC3-161,DC5_ELKS.GBTX_ELK_CH0_1_P
COMET_B_J2-IC3-160,DC5_ELKS.GBTX_ELK_CH1_1_N
COMET_B_J2-IC3-159,DC5_ELKS.GBTX_ELK_CH1_1_P
COMET_B_J2-IC3-183,DC5_ELKS.GBTX_ELK_CH2_1_N
COMET_B_J2-IC3-182,DC5_ELKS.GBTX_ELK_CH2_1_P
COMET_B_J2-IC3-181,DC5_ELKS.GBTX_ELK_CH3_1_N
COMET_B_J2-IC3-180,DC5_ELKS.GBTX_ELK_CH3_1_P
COMET_B_J1-IC3-163,DC5_ELKS.GBTX_ELK_CH4_1_N
COMET_B_J1-IC3-161,DC5_ELKS.GBTX_ELK_CH4_1_P
COMET_B_J1-IC3-160,DC5_ELKS.GBTX_ELK_CH5_1_N
COMET_B_J1-IC3-159,DC5_ELKS.GBTX_ELK_CH5_1_P
COMET_B_J1-IC3-183,DC5_ELKS.GBTX_ELK_CH6_1_N
COMET_B_J1-IC3-182,DC5_ELKS.GBTX_ELK_CH6_1_P
COMET_B_J1-IC3-181,DC5_ELKS.GBTX_ELK_CH7_1_N
COMET_B_J1-IC3-180,DC5_ELKS.GBTX_ELK_CH7_1_P
COMET_A_J1-IC3-188,DC5_ELKS.GBTX_ELK_CH8_1_N
COMET_A_J1-IC3-189,DC5_ELKS.GBTX_ELK_CH8_1_P
COMET_A_J1-IC3-190,DC5_ELKS.GBTX_ELK_CH9_1_N
COMET_A_J1-IC3-191,DC5_ELKS.GBTX_ELK_CH9_1_P
COMET_A_J2-IC3-188,DC5_ELKS.GBTX_ELK_CH10_1_N
COMET_A_J2-IC3-189,DC5_ELKS.GBTX_ELK_CH10_1_P
COMET_A_J2-IC3-190,DC5_ELKS.GBTX_ELK_CH11_1_N
COMET_A_J2-IC3-191,DC5_ELKS.GBTX_ELK_CH11_1_P
